ID,N_VICTIMAS,FECHA,HORA,HH,TIPO_DE_CALLE,Calle,LUGAR_DEL_HECHO_NORMALIZADO,COMUNA,longitud,Latitud,VICTIMA,ACUSADO,SEXO,EDAD,ROL_VICTIMA
20210041,1,2021-05-20,08:30:00,8,AVENIDA,DEL LIBERTADOR AV.,DEL LIBERTADOR AV. & CASARES AV.,14,-58.40986646,-34.5772806,PEATON,PASAJEROS,MASCULINO,75,PEATON
20210042,1,2021-05-21,05:00:00,5,AVENIDA,RIVADAVIA AV.,RIVADAVIA AV. 10900,9,-58.51739138,-34.63931792,PEATON,PASAJEROS,MASCULINO,39,PEATON
20210043,1,2021-05-22,18:26:00,18,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.","ALBERDI, JUAN BAUTISTA AV. & PILAR",9,-58.50719962,-34.65556223,PEATON,AUTO,MASCULINO,50,PEATON
20210044,1,2021-05-25,02:00:00,2,AVENIDA,"PERON, EVA AV.","PERON, EVA AV. & ACOSTA, MARIANO",9,-58.46712311,-34.64600222,MOTO,OBJETO FIJO,MASCULINO,21,PASAJERO
20210045,1,2021-05-26,17:24:00,17,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,AU FRONDIZI & SUAREZ AV.,4,-58.37709334,-34.64035082,MOTO,MULTIPLE,MASCULINO,22,CONDUCTOR
20210046,1,2021-05-31,02:00:00,2,AVENIDA,ELCANO AV.,EL CANO AV. & GUZMAN AV.,15,-58.46033141,-34.58569883,AUTO,OBJETO FIJO,MASCULINO,20,PASAJERO
20210047,1,2021-06-02,16:00:00,16,AVENIDA,"VEDIA, AGUSTIN DE","VEDIA, AGUSTIN DE & RABANAL, FRANCISCO, INTENDENTE AV.",4,-58.42190745,-34.65633192,MOTO,AUTO,MASCULINO,59,CONDUCTOR
20210048,1,2021-06-03,09:58:00,9,AVENIDA,CAPDEVILA,CAPDEVILLA & CONGRESO AV.,12,-58.49026573,-34.5698141,BICICLETA,AUTO,MASCULINO,44,CICLISTA
20210049,1,2021-06-03,20:30:00,20,AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.","FERNANDEZ DE LA CRUZ, F., GRAL. AV. 4000",8,-58.45410344,-34.66902702,AUTO,AUTO,MASCULINO,74,CONDUCTOR
20210050,1,2021-06-10,13:30:00,13,AVENIDA,DEL LIBERTADOR AV.,DEL LIBERTADOR AV. 5958,13,-58.44751621,-34.55719892,MOTO,PASAJEROS,MASCULINO,56,CONDUCTOR
20210051,1,2021-06-15,19:20:00,19,AVENIDA,27 DE FEBRERO AV.,27 DE FEBRERO AV. & EREZCANO AV.,4,-58.42040352,-34.66005171,PEATON,CARGAS,MASCULINO,73,PEATON
20210052,1,2021-06-20,05:40:00,5,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. 14723",8,-58.49530249,-34.68010798,MOTO,OBJETO FIJO,FEMENINO,19,PASAJERO
20210053,1,2021-06-20,12:00:00,12,AVENIDA,CORRIENTES AV.,CORRIENTES AV. 5783,15,-58.44399875,-34.5947736,PEATON,BICICLETA,MASCULINO,58,PEATON
20210054,1,2021-06-22,14:44:00,14,CALLE,TABARE,TABARE & EREZCANO,4,-58.42759813,-34.65463857,MOTO,CARGAS,MASCULINO,41,CONDUCTOR
20210055,1,2021-06-29,12:20:00,12,AVENIDA,CORRIENTES AV.,CORRIENTES AV. & PUEYRREDOR AV.,3,-58.40547222,-34.60456293,MOTO,CARGAS,MASCULINO,47,PASAJERO
20210056,1,2021-07-09,23:25:00,23,AVENIDA,CORRALES,"CORRALES & MORENO, PERITO AV.",4,-58.42473018,-34.6500828,BICICLETA,AUTO,MASCULINO,60,CICLISTA
20210057,1,2021-07-10,23:30:00,23,AUTOPISTA,AUTOPISTA ARTURO ILLIA,"AU ILLIA KM 3.2, ALTURA CABINAS DE PEAJE",2,-58.39257023,-34.57563957,AUTO,OBJETO FIJO,MASCULINO,46,CONDUCTOR
20210058,1,2021-07-21,00:40:00,0,GRAL PAZ,"PAZ, GRAL. AV.",AV. GRAL. PAZ & VEDIA,12,-58.48941042,-34.54596153,PEATON,AUTO,MASCULINO,24,PEATON
20210059,1,2021-07-22,01:20:00,1,AVENIDA,"GARAY, JUAN DE AV.","GARAY, JUAN DE AV. 2269",3,-58.3964074,-34.62783085,AUTO,OBJETO FIJO,FEMENINO,44,PASAJERO
20210060,1,2021-07-22,12:30:00,12,AVENIDA,"SALGUERO, JERONIMO","SALGUERO, JERONIMO & RIVADAVIA AV.",5,-58.41971993,-34.6111224,PEATON,PASAJEROS,FEMENINO,80,PEATON
20210061,1,2021-07-24,09:15:00,9,AVENIDA,"MORENO, PERITO AV.","MORENO, PERITO AV. & ALCORTA, AMANCIO AV.",4,-58.40544588,-34.65012801,PEATON,CARGAS,FEMENINO,55,PEATON
20210062,1,2021-07-27,07:16:00,7,AVENIDA,LA PLATA AV.,LA PLATA AV. 2723,4,-58.42003882,-34.64645957,AUTO,CARGAS,MASCULINO,73,CONDUCTOR
20210063,1,2021-08-02,04:40:00,4,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.","ALBERDI, JUAN BAUTISTA AV. 2906",7,-58.46851293,-34.63348678,AUTO,AUTO,FEMENINO,31,PASAJERO
20210064,1,2021-08-02,20:00:00,20,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. & TONELERO",9,-58.52931141,-34.65422917,PEATON,CARGAS,MASCULINO,37,PEATON
20210065,1,2021-08-06,08:30:00,8,AVENIDA,SAN JUAN AV.,AV. SAN JUAN & AV. LA PLATA,6,-58.42675754,-34.6269973,PEATON,PASAJEROS,FEMENINO,63,PEATON
20210066,1,2021-08-06,20:00:00,20,AVENIDA,LOPE DE VEGA AV.,AV. LOPE DE VEGA & AV. GRAL. PAZ,11,-58.52933723,-34.61098186,PEATON,PASAJEROS,MASCULINO,59,PEATON
20210067,1,2021-08-08,09:29:00,9,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,"AU FRONDIZI KM 2,9 (ALTURA BRASIL)",1,-58.37910943,-34.62764718,MOTO,OBJETO FIJO,MASCULINO,27,CONDUCTOR
20210068,1,2021-08-15,06:10:00,6,AVENIDA,"BEIRO, FRANCISCO AV.","BEIRO, FRANCISCO AV. 5071",11,-58.52161176,-34.61164474,MOTO,OBJETO FIJO,MASCULINO,39,CONDUCTOR
20210069,1,2021-08-20,17:15:00,17,AVENIDA,SANTA FE AV.,AV. SANTA FE 3428,14,-58.41354692,-34.5869768,PEATON,AUTO,MASCULINO,17,PEATON
20210070,1,2021-08-28,08:30:00,8,AVENIDA,"CHILAVERT, MARTINIANO, CORONEL","CHILAVERT, MARTINIANO, CORONEL & VARELA AV.",8,-58.43960781,-34.65470804,MOTO,CARGAS,MASCULINO,31,CONDUCTOR
20210071,1,2021-08-31,16:00:00,16,CALLE,SAN LUIS,SAN LUIS 2730,3,-58.4045461,-34.60003693,PEATON,MOTO,MASCULINO,88,PEATON
20210072,1,2021-09-01,19:10:00,19,AVENIDA,CALLAO AV.,CALLAO AV. & PARAGUAY,2,-58.39303911,-34.59871111,PEATON,AUTO,FEMENINO,57,PEATON
20210073,1,2021-09-18,12:20:00,12,AVENIDA,DEL LIBERTADOR AV.,"DEL LIBERTADOR AV. & AGOTE, LUIS DR.",2,-58.39391034,-34.58405348,BICICLETA,AUTO,FEMENINO,76,CICLISTA
20210074,1,2021-09-20,15:00:00,15,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. & BALBIN, RICARDO, DR. AV.",12,-58.5007381,-34.5497951,MOTO,MULTIPLE,MASCULINO,55,CONDUCTOR
20210075,1,2021-09-21,14:30:00,14,CALLE,SALTA,SALTA & BRASIL,1,-58.38281301,-34.62786038,PEATON,CARGAS,MASCULINO,65,PEATON
20210076,1,2021-10-16,06:15:00,6,AVENIDA,"MORENO, PERITO AV.","MORENO, PERITO AV. 2152",7,-58.43980799,-34.65094083,MOTO,OBJETO FIJO,MASCULINO,31,CONDUCTOR
20210077,1,2021-10-18,07:20:00,7,AVENIDA,DIRECTORIO AV.,DIRECTORIO AV. 1169,6,-58.44402387,-34.62933109,MOTO,CARGAS,FEMENINO,31,CONDUCTOR
20210078,1,2021-10-23,06:35:00,6,AVENIDA,INDEPENDENCIA AV.,INDEPENDENCIA AV. & LA PLATA AV.,6,-58.42779702,-34.62207347,MOTO,PASAJEROS,MASCULINO,22,CONDUCTOR
20210079,1,2021-10-25,03:30:00,3,CALLE,TUCUMAN,TUCUMAN 3112,3,-58.40944147,-34.60097942,PEATON,AUTO,MASCULINO,42,PEATON
